id,round,date,home_team,tf,away_team,home_score,away_score
182,19,Sat Jan 16 2021,West Ham,1–0,Burnley,1,0
183,19,Sat Jan 16 2021,Leeds United,0–1,Brighton,0,1
184,19,Sat Jan 16 2021,Fulham,0–1,Chelsea,0,1
185,19,Sat Jan 16 2021,Leicester City,2–0,Southampton,2,0
186,19,Sun Jan 17 2021,Sheffield Utd,1–3,Tottenham,1,3
187,19,Sun Jan 17 2021,Liverpool,0–0,Manchester Utd,0,0
188,19,Sun Jan 17 2021,Manchester City,4–0,Crystal Palace,4,0
189,19,Mon Jan 18 2021,Arsenal,3–0,Newcastle Utd,3,0
190,19,Thu May 13 2021(P),Aston Villa,0–0,Everton,0,0
191,20,Tue Jan 26 2021,Newcastle Utd,1–2,Leeds United,1,2
192,20,Tue Jan 26 2021,Crystal Palace,2–3,West Ham,2,3
193,20,Tue Jan 26 2021,West Brom,0–5,Manchester City,0,5
194,20,Tue Jan 26 2021,Southampton,1–3,Arsenal,1,3
195,20,Wed Jan 27 2021,Chelsea,0–0,Wolves,0,0
196,20,Wed Jan 27 2021,Burnley,3–2,Aston Villa,3,2
197,20,Wed Jan 27 2021,Brighton,0–0,Fulham,0,0
198,20,Wed Jan 27 2021,Everton,1–1,Leicester City,1,1
199,20,Wed Jan 27 2021,Manchester Utd,1–2,Sheffield Utd,1,2
200,20,Thu Jan 28 2021,Tottenham,1–3,Liverpool,1,3
201,21,Sat Jan 30 2021,Everton,0–2,Newcastle Utd,0,2
202,21,Sat Jan 30 2021,Crystal Palace,1–0,Wolves,1,0
203,21,Sat Jan 30 2021,Manchester City,1–0,Sheffield Utd,1,0
204,21,Sat Jan 30 2021,West Brom,2–2,Fulham,2,2
205,21,Sat Jan 30 2021,Arsenal,0–0,Manchester Utd,0,0
206,21,Sat Jan 30 2021,Southampton,0–1,Aston Villa,0,1
207,21,Sun Jan 31 2021,Chelsea,2–0,Burnley,2,0
208,21,Sun Jan 31 2021,Leicester City,1–3,Leeds United,1,3
209,21,Sun Jan 31 2021,West Ham,1–3,Liverpool,1,3
210,21,Sun Jan 31 2021,Brighton,1–0,Tottenham,1,0
211,22,Tue Feb 02 2021,Sheffield Utd,2–1,West Brom,2,1
212,22,Tue Feb 02 2021,Wolves,2–1,Arsenal,2,1
213,22,Tue Feb 02 2021,Manchester Utd,9–0,Southampton,9,0
214,22,Tue Feb 02 2021,Newcastle Utd,1–2,Crystal Palace,1,2
215,22,Wed Feb 03 2021,Burnley,0–2,Manchester City,0,2
216,22,Wed Feb 03 2021,Fulham,0–2,Leicester City,0,2
217,22,Wed Feb 03 2021,Leeds United,1–2,Everton,1,2
218,22,Wed Feb 03 2021,Liverpool,0–1,Brighton,0,1
219,22,Wed Feb 03 2021,Aston Villa,1–3,West Ham,1,3
220,22,Thu Feb 04 2021,Tottenham,0–1,Chelsea,0,1
221,23,Sat Feb 06 2021,Aston Villa,1–0,Arsenal,1,0
222,23,Sat Feb 06 2021,Burnley,1–1,Brighton,1,1
223,23,Sat Feb 06 2021,Newcastle Utd,3–2,Southampton,3,2
